mismatch_location,s2id,lat,lon,label,sublabel,iso3,distance_from_shore_m,label_source,drift_radius,total_visits,unique_total_ssvid,unique_active_ssvid,active_ssvid_days,unique_stationary_ssvid,stationary_ssvid_days,stationary_fishing_ssvid_days,unique_stationary_fishing_ssvid,top_destination,dock,source
Only in scratch_amanda,0734e705,-17.548337493653428,-39.20377079191155,ALCOBACA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,0734e7a1,-17.56057436020007,-39.19337334521224,ALCOBACA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,0734e6fb,-17.533641739506248,-39.203770791911545,ALCOBACA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,0734e6fd,-17.53854018796583,-39.20377079191155,ALCOBACA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,0734e659,-17.531178884530274,-39.19337334521225,ALCOBACA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,0734e6ff,-17.539758535729625,-39.19857228234076,ALCOBACA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,0734e7ab,-17.545876009804577,-39.19337334521225,ALCOBACA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,0734e701,-17.544657417135557,-39.19857228234075,ALCOBACA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,0734e70b,-17.559354877804427,-39.19857228234075,ALCOBACA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,0734e707,-17.549556434693468,-39.19857228234076,ALCOBACA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,0734e657,-17.536077789971785,-39.19337334521225,ALCOBACA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,0734e6f1,-17.528743427456366,-39.20377079191155,ALCOBACA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,0734e703,-17.543438772719952,-39.20377079191155,ALCOBACA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,0734e70f,-17.553236350651108,-39.203770791911545,ALCOBACA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,0734e6f7,-17.529961181834437,-39.19857228234075,ALCOBACA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,0734e7a9,-17.55077532396544,-39.19337334521224,ALCOBACA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,0734e655,-17.540976831768283,-39.19337334521225,ALCOBACA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,9700ca53,-33.76337222222222,-80.75684722222222,ALEJANDRO SELKIRK,,CHL,0.0,anchorage_overrides,,,,,,0,,,0,,,CHL
Only in scratch_amanda,96184407,-41.67272222222222,-72.99052777777779,ALFARO,,CHL,0.0,anchorage_overrides,,,,,,0,,,0,,,CHL
Only in scratch_amanda,96621161,-33.363480555555554,-71.67279444444445,ALGARROBO,,CHL,0.0,anchorage_overrides,,,,,,0,,,0,,,CHL
