label,lat,lon,iso3
vnm_401,14.558831,109.0615559,VNM
vnm_402,14.56298101,109.0833681,VNM
vnm_403,14.5631468,109.0639732,VNM
vnm_404,14.56453804,109.0630631,VNM
vnm_405,14.56690612,109.0837509,VNM
vnm_406,14.56694184,109.0638984,VNM
vnm_407,14.56701046,109.0883986,VNM
Tam Quan Fishing Port,14.56790358,109.0787797,VNM
vnm_409,14.56858175,109.062062,VNM
vnm_410,14.57191226,109.0619558,VNM
vnm_411,14.57216442,109.0887705,VNM
vnm_412,14.57237287,109.0829787,VNM
vnm_413,14.57271388,109.0791032,VNM
vnm_414,14.57285718,109.0723231,VNM
vnm_415,14.57415282,109.0650019,VNM
vnm_416,14.57582186,109.0792745,VNM
vnm_417,14.57647572,109.0838864,VNM
vnm_418,14.57736272,109.0666189,VNM
vnm_419,14.57767105,109.0709951,VNM
vnm_420,14.5778319,109.087922,VNM
vnm_421,14.58246959,109.0844259,VNM
Sa Huỳnh Fishing Port,14.67292077,109.0710249,VNM
My A Fishing Port,14.83153354,108.9913654,VNM
vnm_424,15.13038125,108.8905331,VNM
vnm_425,15.13145537,108.8922413,VNM
vnm_426,15.13805736,108.8954364,VNM
vnm_427,15.14056138,108.8943225,VNM
vnm_430,15.19617609,108.9289776,VNM
vnm_432,15.20036956,108.9346713,VNM
vnm_433,15.20121863,108.9298182,VNM
vnm_434,15.20176667,108.925541,VNM
vnm_435,15.20184208,108.8954353,VNM
vnm_436,15.20283854,108.912464,VNM
vnm_437,15.20416475,108.9348376,VNM
vnm_439,15.20450392,108.9411732,VNM
vnm_440,15.20611628,108.9229736,VNM
vnm_441,15.20623519,108.8892838,VNM
Tịnh Hòa Fishing Port,15.20674825,108.8892171,VNM
vnm_444,15.20820656,108.8933959,VNM
vnm_445,15.20919152,108.9178484,VNM
Tinh Ky Fishing Port,15.20966056,108.902004,VNM
vnm_447,15.21059927,108.9028705,VNM
vnm_448,15.21172121,108.9030265,VNM
vnm_449,15.21189718,108.9158255,VNM
vnm_450,15.21282358,108.9025011,VNM
vnm_451,15.21369205,108.9140644,VNM
Fishing Port 19/5,15.21676672,108.9077681,VNM
Sa Kỳ Fishing Port,15.2178432,108.9124208,VNM
vnm_454,15.21984971,108.9148448,VNM
vnm_455,15.2462682,108.9220442,VNM
vnm_456,15.24968107,108.9219486,VNM
vnm_457,15.34100934,108.8687821,VNM
vnm_458,15.34210092,108.8654552,VNM
vnm_459,15.35651581,109.1323007,VNM
vnm_460,15.35742219,109.1252499,VNM
vnm_461,15.35891489,109.1203312,VNM
vnm_462,15.36193194,109.1198819,VNM
vnm_463,15.36225839,109.1320344,VNM
vnm_464,15.36255072,109.1263728,VNM
vnm_465,15.36678089,109.1326897,VNM
vnm_466,15.36747924,109.1369228,VNM
vnm_467,15.36970551,109.1011493,VNM
vnm_468,15.3714815,109.1337516,VNM
vnm_469,15.37176045,109.1367036,VNM
Sông Trà Bồng Fishing Port,15.37592104,108.7763234,VNM
vnm_471,15.37817626,109.0915848,VNM
vnm_472,15.37835345,109.0940122,VNM
vnm_473,15.37949176,109.0945285,VNM
vnm_474,15.37964366,109.1414326,VNM
vnm_475,15.38037655,109.0921148,VNM
Ly Son Fishing Port,15.38180177,109.1417752,VNM
vnm_477,15.38186643,108.7740399,VNM
vnm_479,15.39528359,108.7686966,VNM
vnm_480,15.39649072,109.1315197,VNM
vnm_481,15.39674126,109.0953488,VNM
vnm_482,15.39692484,109.1019757,VNM
vnm_483,15.39742148,109.1066,VNM
vnm_484,15.39980545,108.7683542,VNM
vnm_485,15.40255743,109.113401,VNM
vnm_486,15.40264747,109.1072635,VNM
vnm_487,15.40311489,109.1019432,VNM
vnm_488,15.42252233,109.0780703,VNM
vnm_489,15.42261762,109.0818165,VNM
vnm_490,15.4714317,108.6784216,VNM
vnm_491,15.47319308,108.6811234,VNM
Tam Quang Fishing Port,15.47355567,108.6831304,VNM
vnm_493,15.47444184,108.6514427,VNM
vnm_494,15.47973374,108.6844899,VNM
vnm_497,15.86586758,108.3845188,VNM
vnm_498,15.86720663,108.3872536,VNM
vnm_499,15.87759817,108.3876312,VNM
vnm_500,15.92826031,108.5270173,VNM
vnm_501,15.95259703,108.5022415,VNM
vnm_502,15.95706932,108.5000348,VNM
vnm_503,16.09087574,108.2368385,VNM
vnm_504,16.09452925,108.2363934,VNM
vnm_505,16.09547644,108.2380423,VNM
vnm_506,16.09627335,108.2660704,VNM
Tho Quang Fishing Port,16.09926596,108.2393099,VNM
vnm_508,16.09934921,108.2586115,VNM
vnm_509,16.10016214,108.2367111,VNM
vnm_510,16.10396444,108.2370534,VNM
vnm_511,16.10411227,108.2412068,VNM
vnm_512,16.10946658,108.2391905,VNM
vnm_513,16.10980253,108.2347982,VNM
vnm_514,16.11120118,108.2291276,VNM
vnm_515,16.1123776,108.2234511,VNM
vnm_516,16.11382558,108.2174879,VNM
vnm_517,16.11491267,108.2125491,VNM
vnm_518,16.11652857,108.2111134,VNM
vnm_519,16.11944504,108.2058188,VNM
vnm_520,16.12408134,108.2070862,VNM
vnm_521,16.12605925,108.2106352,VNM
vnm_522,16.12886731,108.2118132,VNM
vnm_523,16.12925636,108.2066359,VNM
vnm_524,16.1300329,108.2151873,VNM
vnm_525,16.13508502,108.2171824,VNM
vnm_526,16.13574685,108.2122448,VNM
vnm_527,16.13575149,108.2208036,VNM
vnm_528,16.14126655,108.2226062,VNM
vnm_529,16.14488273,108.223387,VNM
vnm_530,16.19375002,108.1924796,VNM
vnm_531,16.19484756,108.1867923,VNM
vnm_532,16.19507372,108.181339,VNM
Cảng cá Nhật Lệ,17.46323694,106.6279968,VNM
vnm_534,17.69901429,106.4750106,VNM
vnm_535,17.70355106,106.48399,VNM
vnm_536,17.70423994,106.4798443,VNM
vnm_538,17.87535258,106.4491281,VNM
vnm_539,17.9305026,106.5252785,VNM
vnm_540,17.93216945,106.521149,VNM
vnm_541,17.9349174,106.5242285,VNM
vnm_542,17.93563064,106.5201871,VNM
Mui Ong Fishing Port,17.93715932,106.5152579,VNM
vnm_544,18.06543955,106.4397216,VNM
vnm_545,18.0661623,106.4411127,VNM
vnm_546,18.0672338,106.441413,VNM
vnm_547,18.06964046,106.436669,VNM
vnm_548,18.07077868,106.433816,VNM
vnm_550,18.08638151,106.3410628,VNM
vnm_551,18.10585498,106.3549112,VNM
vnm_552,18.10782261,106.4037962,VNM
vnm_553,18.11160988,106.4046143,VNM
vnm_554,18.1137693,106.4074912,VNM
vnm_555,18.11790076,106.40794,VNM
Cua Hoi Fishing Port,18.7589352,105.7501758,VNM
vnm_557,18.79064427,105.9600772,VNM
vnm_558,18.79122386,105.9567253,VNM
vnm_559,18.80617541,105.7734928,VNM
vnm_560,18.82855663,105.70175,VNM
vnm_561,18.82866225,105.6994588,VNM
vnm_562,18.82872187,105.7331979,VNM
vnm_563,18.82872947,105.7263174,VNM
vnm_564,18.82998746,105.7091384,VNM
vnm_565,18.8307826,105.7127383,VNM
vnm_566,18.83091323,105.6912786,VNM
vnm_567,18.83219906,105.7196945,VNM
vnm_568,18.83325175,105.7140126,VNM
vnm_570,18.99672396,105.6058645,VNM
Lach Van Fishing Port,18.9978211,105.6059527,VNM
vnm_572,19.00482126,105.6044663,VNM
Lach Quen Fishing Port,19.10794631,105.7134917,VNM
vnm_576,19.11017372,105.7127302,VNM
vnm_577,19.11278263,105.7098782,VNM
vnm_578,19.1198995,105.7048428,VNM
vnm_589,19.22553951,105.7565836,VNM
vnm_590,19.23201499,105.7376147,VNM
vnm_591,19.23252474,105.7536006,VNM
vnm_592,19.23260116,105.7513814,VNM
vnm_593,19.23381321,105.7434396,VNM
vnm_594,19.2350891,105.7553916,VNM
vnm_595,19.23517408,105.7444873,VNM
Quynh Phuong Fishing Port,19.23524662,105.7485255,VNM
vnm_597,19.30043955,105.8254075,VNM
vnm_598,19.30506993,105.813661,VNM
vnm_599,19.30980726,105.8138682,VNM
vnm_600,19.31212486,105.809144,VNM
vnm_601,19.31279583,105.804962,VNM
vnm_602,19.32024518,105.8125466,VNM
vnm_603,19.32184226,105.8125337,VNM
vnm_604,19.33949911,105.8187698,VNM
vnm_605,19.34019563,105.8169907,VNM
vnm_607,19.34451162,105.8217067,VNM
vnm_608,19.34491339,105.8250883,VNM
vnm_609,19.34683408,105.9312624,VNM
vnm_611,19.3473266,105.9265185,VNM
vnm_613,19.34892335,105.9206078,VNM
vnm_615,19.35396578,105.9244717,VNM
vnm_616,19.35554762,105.9202485,VNM
vnm_617,19.36013197,105.9186687,VNM
vnm_618,19.36106926,105.915968,VNM
vnm_619,19.36426914,105.9181149,VNM
vnm_620,19.3648339,105.9152924,VNM
vnm_621,19.37402538,105.9088278,VNM
vnm_623,19.37832436,105.9090169,VNM
vnm_626,19.39243692,105.8142433,VNM
vnm_627,19.39512507,105.8027574,VNM
vnm_628,19.3959053,105.7955584,VNM
vnm_629,19.3968038,105.7913904,VNM
vnm_630,19.39725468,105.7867031,VNM
vnm_631,19.3983136,105.8144539,VNM
vnm_632,19.3984566,105.8197872,VNM
vnm_633,19.39872609,105.7910181,VNM
vnm_634,19.39883555,105.7956633,VNM
vnm_635,19.39899355,105.8090062,VNM
vnm_636,19.39933407,105.801667,VNM
vnm_637,19.40070683,105.7869708,VNM
vnm_638,19.4024749,105.8196479,VNM
vnm_639,19.40508855,105.8037129,VNM
vnm_640,19.40796158,105.7850285,VNM
Lach Bang Fishing Port,19.40875289,105.7809066,VNM
vnm_642,19.41029532,105.7832291,VNM
vnm_643,19.41046096,105.7808154,VNM
vnm_644,19.41922206,105.7887459,VNM
vnm_645,19.42172557,105.7895626,VNM
vnm_646,19.57023373,105.811876,VNM
vnm_647,19.57273539,105.8085506,VNM
vnm_648,19.57650253,105.8084604,VNM
vnm_649,19.58194984,105.8062289,VNM
