s2id,latitude,longitude,label,sublabel,iso3
9105cd33,-11.989676568618334,-77.19162512827762,Callao,,PER
9105cd31,-11.98964693314519,-77.18632930067928,Callao,,PER
914467ef,-17.50869363443899,-71.36640339995076,TABLONES,,PER
903645b7,-4.569184181151057,-81.30453421821566,TALARA,,PER
903645c9,-4.573057448493621,-81.30444445159841,TALARA,,PER
903645cb,-4.57305555556,-81.2983888889,TALARA,,PER
91ab8393,-9.120976103432755,-78.57977818151086,Chimbote,,PER
9105cc79,-12.042423309021979,-77.14172362144035,Callao,,PER
9105cc7d,-12.039854205031197,-77.14386135092822,Callao,,PER
9105ccc7,-12.02256396889256,-77.1803729364395,Callao,,PER
9105cc7b,-12.039882987700233,-77.1413037165908,Callao,,PER
9105ccc5,-12.016793195714898,-77.18025479507126,Callao,,PER
91073761,-10.8005,-77.7454722222,Puerto Supe,,PER
91ab9a3f,-9.250026466103145,-78.5010588430179,Samanco,,PER
91aa1661,-10.087348056590878,-78.1823629195558,Huarney,,PER
904970df,-5.761584154969365,-81.02689930412423,PE PUB,,PER
9105cd9b,-11.968910212339672,-77.1403226179689,Callao,,PER
91ad18db,-8.228077271204391,-78.98347843219838,Salaverry,,PER
91ad18dd,-8.226862657335221,-78.98385496022932,Salaverry,,PER
91ab8473,-9.123925055902525,-78.55806478319812,Chimbote,,PER
91ab8475,-9.123006775941448,-78.56378203302619,Chimbote,,PER
91ab8471,-9.124713612569852,-78.55822844084881,Chimbote,,PER
91445b0d,-17.636711902004784,-71.346509992362,Ilo,,PER
91445b13,-17.63919399247706,-71.34890103300458,Ilo,,PER
91445b11,-17.641464887979097,-71.3491005987525,Ilo,,PER
91445b15,-17.63900110442859,-71.3545751742048,Ilo,,PER
91445b17,-17.64180329143568,-71.35450547576825,Ilo,,PER
903645c7,-4.573518999230457,-81.30938412789611,TALARA,,PER
903645b9,-4.569338616078269,-81.30935046705441,TALARA,,PER
903645c1,-4.573400197103919,-81.31485703442435,TALARA,,PER
903645bf,-4.569282997526901,-81.31464443357403,TALARA,,PER
9105d2c7,-11.931775930767687,-77.18122778764118,LA PAMPILLA,,PER
91168bd9,-15.228264513640129,-75.25182120321595,San Nicolas,,PER
91168bd7,-15.231843800338426,-75.25119258678225,San Nicolas,,PER
9105cd71,-11.971650124803363,-77.1565674511577,Callao,,PER
91168987,-15.251696180970924,-75.24225167688147,San Nicolas,,PER
903645b1,-4.563985430180752,-81.30505889071495,TALARA,,PER
903645bd,-4.56450597934851,-81.31490600501529,TALARA,,PER
903645a5,-4.559843636771696,-81.3096183207252,TALARA,,PER
9116898f,-15.253634694785442,-75.24042605718053,San Nicolas,,PER
903645bb,-4.564014774156343,-81.3093736342357,TALARA,,PER
91445ca7,-17.611007272666498,-71.36829318417884,Ilo,,PER
91445ca9,-17.61157283554845,-71.37283649747503,Ilo,,PER
91aa16f1,-10.0973055556,-78.1713611111,Huarney,,PER
91ab8381,-9.137111636001173,-78.56877763254889,Chimbote,,PER
91043347,-12.028564267670863,-77.20945676977738,Callao,,PER
91043341,-12.028029151295476,-77.21399288499912,Callao,,PER
91ad18ed,-8.216297045859013,-78.99232022651778,Salaverry,,PER
9105ccdf,-12.005109367954802,-77.17556853682672,Callao,,PER
9105cd0d,-11.98128356505305,-77.15667460306514,Callao,,PER
91043305,-12.013403196288918,-77.2309846808195,Callao,,PER
9104331b,-12.013493368859686,-77.22578247661303,Callao,,PER
9104331d,-12.007840069999576,-77.22549584464267,Callao,,PER
91043303,-12.008713261364436,-77.23141229149529,Callao,,PER
91445b1b,-17.64880481192766,-71.35220774522827,ILO,,PER
91445b19,-17.64865476880838,-71.35330761102232,ILO,,PER
9105cc7f,-12.044070977750788,-77.14500341417012,Callao,,PER
9105cc81,-12.042910603975217,-77.15055753845363,Callao,,PER
91ab8477,-9.128347036577637,-78.56505751401487,Chimbote,,PER
91ab838f,-9.127259577470358,-78.57327688619225,Chimbote,,PER
91ab8387,-9.132295531967891,-78.56861530034102,Chimbote,,PER
91ab8389,-9.12724082329571,-78.5690701554737,Chimbote,,PER
91ab8385,-9.13232083454558,-78.57344057425638,Chimbote,,PER
9049e13d,-5.063710068742876,-81.10669989824238,Paita,,PER
9049e117,-5.058477539438367,-81.10568154754009,Paita,,PER
9049e119,-5.058402311684452,-81.11040210559284,Paita,,PER
90497199,-5.793808888497249,-81.05444979584965,BAYOVAR,,PER
91073765,-10.794713311451366,-77.75393194191797,Puerto Supe,,PER
9107377b,-10.791184895148078,-77.75411755559382,Puerto Supe,,PER
91ab83f7,-9.112680432634816,-78.57057312387315,Chimbote,,PER
91043311,-12.019096608552728,-77.22499807794166,Callao,,PER
91043315,-12.024091018008463,-77.2203369545488,Callao,,PER
91043313,-12.024186735860109,-77.22465706993175,Callao,,PER
91043317,-12.019000590924216,-77.22052843713064,Callao,,PER
914455fb,-17.786197531486135,-71.19979337515034,ILO,,PER
91067ffb,-11.770658981787971,-77.18423965664701,Ancon,,PER
91067ff1,-11.771966740619577,-77.1815212330382,Ancon,,PER
91415b23,-16.994083970511475,-72.12065628010703,MATARANI,,PER
91415b19,-16.994619233113713,-72.11565255124246,MATARANI,,PER
91168965,-15.226291179397903,-75.23962557087755,San Nicolas,,PER
9116897b,-15.231848135923455,-75.23952378020728,San Nicolas,,PER
9116897d,-15.231894745317243,-75.24434054253538,San Nicolas,,PER
91168963,-15.22826784404111,-75.24416990312932,San Nicolas,,PER
91415b1d,-16.999068812431478,-72.10854750889936,Matarani,,PER
91415ae3,-17.001258789774845,-72.1094560425372,Matarani,,PER
91415b1f,-16.997821328268753,-72.1137813799708,MATARANI,,PER
91415ae1,-17.00323645936895,-72.11305321483499,MATARANI,,PER
91415b03,-16.998119794210776,-72.10588218543359,Matarani,,PER
904970e7,-5.766428760533528,-81.02296674517082,BAYOVAR PERU,,PER
9105cd29,-12.000842924961855,-77.18633832721365,Callao,,PER
9105cd2f,-11.995113199327482,-77.18631424036217,Callao,,PER
9105cd2d,-11.995687808676445,-77.19191858021945,Callao,,PER
904970e9,-5.7668232995335345,-81.01751024787441,PE PUB,,PER
9105cd2b,-12.00051766180011,-77.19181550418959,Callao,,PER
91ab8479,-9.131964446033843,-78.56494550670833,Chimbote,,PER
91ad189d,-8.215217877730268,-79.0163115014152,SALAVERRY,,PER
91ad189f,-8.221223694268259,-79.01590452934275,SALAVERRY,,PER
9105cd7f,-11.960523005406042,-77.14983267692543,Callao,,PER
9105cd79,-11.963780349006234,-77.14937793456139,Callao,,PER
91ad18bd,-8.225572838350805,-79.00616455932719,SALAVERRY,,PER
91ad18a3,-8.22577360071951,-79.01068075454687,SALAVERRY,,PER
91ad18a5,-8.230862704668448,-79.01068605581766,SALAVERRY,,PER
91106519,-13.746039963762872,-76.24616151970447,PER-37,,PER
91445ac5,-17.67042879089886,-71.36591329500513,Lisas,,PER
91445b4f,-17.628392086208827,-71.37308234004364,Ilo,,PER
91445b45,-17.628348867945128,-71.3687561086221,Ilo,,PER
91445b47,-17.63160924767416,-71.36819623281654,Ilo,,PER
